Provinsi,Jumlah lulusan sarjana 2020,Jumlah lulusan sarjana 2021
DKI Jakarta,178329,182960
Jawa Barat,192643,207165
Banten,114223,140689
Jawa Tengah,142173,145885
DI Yogyakarta,88065,88460
Jawa Timur,227694,237335
Aceh,32118,32895
Sumatera Utara,77130,80358
Sumatera Barat,45666,46468
Riau,33425,33685
Kepulauan Riau,8213,8633
Jambi,13336,13458
Sumatera Selatan,34317,40935
Bangka Belitung,2856,3008
Bengkulu,13196,12152
Lampung,28747,31582
Kalimantan Barat,21209,20916
Kalimantan Tengah,8237,8987
Kalimantan Selatan,23994,26094
Kalimantan Timur,20188,18793
Kalimantan Utara,2131,1975
Sulawesi Utara,17001,17755
Gorontalo,6938,8311
Sulawesi Tengah,12043,12951
Sulawesi Selatan,75328,80922
Sulawesi Barat,2973,3494
Sulawesi Tenggara,11738,15758
Maluku,7521,7449
Maluku Utara,5686,6305
Bali,31288,35992
Nusa Tenggara Barat,21310,22522
Nusa Tenggara Timur,20823,19194
Papua,8927,9647
Papua Barat,5608,6307
Indonesia,1535074,1629040